Target(SIN(0.01*x)+2*COS(0.01*x*x)+LOG(0.01*x)),Input1(x),Input2(x*x),Input3(sin(x)),Input4(cos(x)),Input5(log(x))
300.9899834,1,1,0.841470985,0.540302306,0
331.9428876,2,4,0.909297427,-0.416146837,0.301029996
349.9022221,3,9,0.141120008,-0.989992497,0.477121255
361.6503892,4,16,-0.756802495,-0.653643621,0.602059991
368.6774017,5,25,-0.958924275,0.283662185,0.698970004
370.9908904,6,36,-0.279415498,0.960170287,0.77815125
367.9706605,7,49,0.656986599,0.753902254,0.84509804
358.7196197,8,64,0.989358247,-0.145500034,0.903089987
342.3117925,9,81,0.412118485,-0.911130262,0.954242509
318.0438028,10,100,-0.544021111,-0.839071529,1
285.7209788,11,121,-0.999990207,0.004425698,1.041392685
245.9740871,12,144,-0.536572918,0.843853959,1.079181246
200.5734356,13,169,0.420167037,0.907446781,1.113943352
152.6767621,14,196,0.990607356,0.136737218,1.146128036
106.9182146,15,225,0.65028784,-0.759687913,1.176091259
69.2260635,16,256,-0.287903317,-0.95765948,1.204119983
46.2596942,17,289,-0.961397492,-0.275163338,1.230448921
44.3978272,18,324,-0.750987247,0.660316708,1.255272505
68.30356,19,361,0.14987721,0.988704618,1.278753601
119.2412085,20,400,0.912945251,0.408082062,1.301029996
193.5075912,21,441,0.836655639,-0.54772926,1.322219295
281.518221,22,484,-0.008851309,-0.999960826,1.342422681
368.1753524,23,529,-0.846220404,-0.53283302,1.361727836
435.0377996,24,576,-0.905578362,0.424179007,1.380211242
464.4242804,25,625,-0.13235175,0.991202812,1.397940009
444.8976558,26,676,0.76255845,0.646919322,1.414973348
376.7206077,27,729,0.956375928,-0.292138809,1.431363764
275.1476037,28,784,0.270905788,-0.962605866,1.447158031
169.273315,29,841,-0.663633884,-0.74805753,1.462397998
95.0380938,30,900,-0.988031624,0.15425145,1.477121255
83.0629564,31,961,-0.404037645,0.914742358,1.491361694
144.8302953,32,1024,0.551426681,0.834223361,1.505149978
263.1800416,33,1089,0.99991186,-0.013276747,1.51851394
393.4827391,34,1156,0.529082686,-0.848570275,1.531478917
478.7707546,35,1225,-0.428182669,-0.903692205,1.544068044
475.5622976,36,1296,-0.991778853,-0.12796369,1.556302501
379.4642701,37,1369,-0.643538133,0.765414052,1.568201724
235.4252983,38,1444,0.296368579,0.955073644,1.579783597
121.4138617,39,1521,0.963795386,0.266642932,1.591064607
107.6159373,40,1600,0.74511316,-0.666938062,1.602059991
210.7833122,41,1681,-0.158622669,-0.987339278,1.612783857
373.787945,42,1764,-0.916521548,-0.399985315,1.62324929
492.2445596,43,1849,-0.831774743,0.555113302,1.633468456
481.4447407,44,1936,0.017701925,0.999843309,1.643452676
342.7237066,45,2025,0.850903525,0.525321989,1.653212514
175.8650448,46,2116,0.901788348,-0.432177945,1.662757832
113.4747793,47,2209,0.123573123,-0.992335469,1.672097858
214.5886372,48,2304,-0.768254661,-0.640144339,1.681241237
402.7248831,49,2401,-0.953752653,0.300592544,1.69019608
516.0801167,50,2500,-0.262374854,0.964966028,1.698970004
447.4270461,51,2601,0.670229176,0.742154197,1.707570176
255.2583551,52,2704,0.986627592,-0.162990781,1.716003344
126.3692086,53,2809,0.39592515,-0.918282786,1.72427587
198.0982066,54,2916,-0.558789049,-0.829309833,1.73239376
405.0848081,55,3025,-0.999755173,0.022126756,1.740362689
527.6247263,56,3136,-0.521551002,0.853220108,1.748188027
424.8600926,57,3249,0.436164755,0.899866827,1.755874856
209.5867876,58,3364,0.992872648,0.119180135,1.763427994
139.0621678,59,3481,0.636738007,-0.771080223,1.770852012
308.6866345,60,3600,-0.304810621,-0.95241298,1.77815125
512.3698295,61,3721,-0.96611777,-0.258101636,1.785329835
484.9165638,62,3844,-0.739180697,0.673507162,1.792391689
257.2796707,63,3969,0.1673557,0.985896582,1.799340549
141.7589963,64,4096,0.920026038,0.39185723,1.806179974
309.6500401,65,4225,0.826828679,-0.562453851,1.812913357
525.6960477,66,4356,-0.026551154,-0.999647456,1.819543936
467.8176264,67,4489,-0.855519979,-0.5177698,1.826074803
219.300532,68,4624,-0.897927681,0.440143022,1.832508913
170.707263,69,4761,-0.114784814,0.99339038,1.838849091
409.0500815,70,4900,0.773890682,0.633319203,1.84509804
548.2243124,71,5041,0.951054653,-0.309022728,1.851258349
350.9274754,72,5184,0.253823363,-0.967250588,1.857332496
154.3883428,73,5329,-0.676771957,-0.736192718,1.86332286
311.1215888,74,5476,-0.98514626,0.171717342,1.86923172
546.8158711,75,5625,-0.387781635,0.92175127,1.875061263
427.3280293,76,5776,0.566107637,0.824331331,1.880813592
174.0706862,77,5929,0.999520159,-0.030975032,1.886490725
277.7923767,78,6084,0.513978456,-0.857803093,1.892094603
543.2643891,79,6241,-0.444112669,-0.895970947,1.897627091
440.4160539,80,6400,-0.993888654,-0.110387244,1.903089987
176.3417334,81,6561,-0.629887994,0.776685982,1.908485019
304.5819437,82,6724,0.313228782,0.949677698,1.913813852
560.6580551,83,6889,0.968364461,0.249540118,1.919078092
391.9928172,84,7056,0.73319032,-0.680023496,1.924279286
168.0743301,85,7225,-0.17607562,-0.984376643,1.929418926
395.6710301,86,7396,-0.923458447,-0.383698445,1.934498451
561.9317036,87,7569,-0.821817837,0.569750334,1.939519253
280.7701965,88,7744,0.035398303,0.999373284,1.944482672
215.904655,89,7921,0.860069406,0.510177045,1.949390007
529.0941383,90,8100,0.893996664,-0.448073616,1.954242509
460.4412521,91,8281,0.105987512,-0.994367461,1.959041392
179.2785692,92,8464,-0.77946607,-0.626444448,1.963787827
396.2210302,93,8649,-0.948282141,0.317428702,1.968482949
562.6366698,94,8836,-0.245251985,0.969459367,1.973127854
248.0494297,95,9025,0.683261715,0.730173561,1.977723605
281.2942973,96,9216,0.983587745,-0.180430449,1.982271233
578.6814644,97,9409,0.379607739,-0.925147537,1.986771734
338.248516,98,9604,-0.573381872,-0.819288245,1.991226076
220.4634057,99,9801,-0.999206834,0.03982088,1.995635195
556.6108729,100,10000,-0.506365641,0.862318872,2
403.4418263,101,10201,0.452025787,0.89200487,2.004321374
199.4209891,102,10404,0.994826791,0.101585704,2.008600172
536.8261553,103,10609,0.622988631,-0.78223089,2.012837225
432.5546082,104,10816,-0.321622403,-0.946868011,2.017033339
197.4576801,105,11025,-0.970535284,-0.240959049,2.021189299
537.8186459,106,11236,-0.7271425,0.686486551,2.025305865
426.0966883,107,11449,0.184781745,0.982779582,2.029383778
207.4095403,108,11664,0.926818505,0.375509598,2.033423755
560.7293014,109,11881,0.816742607,-0.577002179,2.037426498
383.5272827,110,12100,-0.044242678,-0.999020813,2.041392685
239.5842452,111,12321,-0.864551449,-0.502544319,2.045322979
589.9482382,112,12544,-0.889995604,0.455969104,2.049218023
307.7672291,113,12769,-0.097181906,0.995266636,2.053078443
315.7154639,114,12996,0.784980389,0.619520613,2.056904851
588.2288252,115,13225,0.945435334,-0.325809805,2.06069784
225.4116269,116,13456,0.236661393,-0.971592191,2.064457989
444.6292628,117,13689,-0.689697941,-0.724097197,2.068185862
506.0339461,118,13924,-0.981952169,0.189129421,2.071882007
206.0449039,119,14161,-0.371404101,0.928471321,2.075546961
575.3515134,120,14400,0.580611184,0.814180971,2.079181246
337.7999452,121,14641,0.998815225,-0.048663609,2.08278537
327.3134297,122,14884,0.498713154,-0.866767091,2.086359831
579.3704584,123,15129,-0.459903491,-0.887968907,2.089905111
207.0820292,124,15376,-0.995686987,-0.092776205,2.093421685
539.6188176,125,15625,-0.616040459,0.787714512,2.096910013
383.3757132,126,15876,0.329990826,0.943984139,2.100370545
309.6507114,127,16129,0.972630067,0.232359102,2.103803721
584.1811204,128,16384,0.721037711,-0.692895822,2.10720997
208.0331525,129,16641,-0.193473392,-0.981105523,2.11058971
567.449391,130,16900,-0.93010595,-0.36729133,2.113943352
331.7163201,131,17161,-0.811603387,0.584208817,2.117271296
385.3057253,132,17424,0.053083587,0.998590072,2.120573931
524.0710231,133,17689,0.868965756,0.49487222,2.123851641
233.5188804,134,17956,0.885924816,-0.463828869,2.127104798
610.4641571,135,18225,0.088368686,-0.996087835,2.130333768
